code,display,display_en,aliases
E11,Diabetes mellitus tipo 2,Type 2 diabetes mellitus,diabetes tipo 2|DBT2|diabetes no insulinodependiente
E10,Diabetes mellitus tipo 1,Type 1 diabetes mellitus,diabetes tipo 1|DBT1|diabetes insulinodependiente
I10,Hipertensión esencial,Essential hypertension,hipertensión|HTA|presión alta|tensión alta
I25,Cardiopatía isquémica crónica,Chronic ischemic heart disease,enfermedad coronaria|isquemia cardíaca crónica
I21,Infarto agudo de miocardio,Acute myocardial infarction,infarto|IAM|ataque cardíaco
I50,Insuficiencia cardíaca,Heart failure,IC|ICC|falla cardíaca
I48,Fibrilación y aleteo auricular,Atrial fibrillation and flutter,FA|fibrilación auricular|arritmia
I64,Accidente cerebrovascular,Stroke,ACV|derrame cerebral|ictus
J45,Asma,Asthma,asma bronquial|crisis asmática
J44,Enfermedad pulmonar obstructiva crónica,COPD,EPOC|bronquitis crónica|enfisema
J18,Neumonía,Pneumonia,neumonía|pulmonía|infección pulmonar
B57,Enfermedad de Chagas,Chagas disease,chagas|tripanosomiasis americana
A90,Dengue,Dengue,fiebre del dengue|dengue clásico
A15,Tuberculosis respiratoria,Respiratory tuberculosis,TB|TBC|tuberculosis pulmonar
B20,Enfermedad por VIH,HIV disease,VIH|SIDA|infección por VIH
D50,Anemia ferropénica,Iron deficiency anemia,anemia por déficit de hierro|ferropenia
E03,Hipotiroidismo,Hypothyroidism,tiroides baja|hipotiroidismo primario
E66,Obesidad,Obesity,obesidad mórbida|IMC alto
E78,Hiperlipidemia,Hyperlipidemia,colesterol alto|dislipidemia|hipercolesterolemia
K74,Cirrosis hepática,Hepatic cirrhosis,cirrosis|cirrosis del hígado
K76.0,Esteatosis hepática,Hepatic steatosis,hígado graso|EHGNA|NAFLD
N18,Enfermedad renal crónica,Chronic kidney disease,ERC|IRC|insuficiencia renal crónica
N17,Insuficiencia renal aguda,Acute kidney injury,IRA|falla renal aguda
M80,Osteoporosis con fractura,Osteoporosis with fracture,osteoporosis|fractura osteoporótica
M15,Poliartrosis,Polyosteoarthritis,artrosis|osteoartritis|desgaste articular
M05,Artritis reumatoide,Rheumatoid arthritis,AR|artritis autoinmune
F32,Episodio depresivo,Depressive episode,depresión|depresión mayor|trastorno depresivo
F41,Trastorno de ansiedad,Anxiety disorder,ansiedad|TAG|ansiedad generalizada
G20,Enfermedad de Parkinson,Parkinson disease,parkinson|parkinsonismo
G30,Enfermedad de Alzheimer,Alzheimer disease,alzheimer|demencia de Alzheimer
G35,Esclerosis múltiple,Multiple sclerosis,EM|esclerosis en placas
U07.1,COVID-19,COVID-19,coronavirus|SARS-CoV-2|covid
O14,Preeclampsia,Preeclampsia,toxemia del embarazo|hipertensión gestacional
O24.4,Diabetes gestacional,Gestational diabetes,diabetes del embarazo|DMG
C50,Cáncer de mama,Breast cancer,neoplasia mamaria|tumor de mama
C34,Cáncer de pulmón,Lung cancer,neoplasia pulmonar|tumor pulmonar
C18,Cáncer de colon,Colon cancer,cáncer colorrectal|neoplasia de colon
M10,Gota,Gout,artritis gotosa|hiperuricemia
K80,Litiasis biliar,Cholelithiasis,cálculos biliares|colelitiasis
N39.0,Infección urinaria,Urinary tract infection,ITU|cistitis|infección de orina
B15,Hepatitis A,Hepatitis A,hepatitis viral A
B16,Hepatitis B,Hepatitis B,hepatitis viral B
B17.1,Hepatitis C,Hepatitis C,hepatitis viral C|VHC
R51,Cefalea,Headache,dolor de cabeza|jaqueca
G43,Migraña,Migraine,migraña con aura|migraña sin aura|jaqueca severa
